ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
30036,simple,K1329AON,Classic Pearl and Ruby Necklace and Earrings Set,1,0,visible,,"Design: This timeless set features a strand of lustrous pearls accented with vibrant ruby gemstones. The necklace has a simple and sophisticated design, while the earrings are classic studs, perfect for everyday wear or special occasions.

Gemstones: The set boasts genuine pearls, likely freshwater pearls, a popular and affordable choice, paired with ruby gemstones. Rubies are known for their hardness, durability, and fiery red color, although they can also come in pink, orange, or purple.

Shape: The shape of the pearls and rubies cannot be determined from the image, but pearls are typically round and rubies can be cut in various shapes.

Material: The setting is likely made of a metal alloy, such as silver or gold-plated brass.

Occasion: This versatile set is perfect for everyday wear or adding a touch of elegance to dressier outfits.

Artificial: While the pearls may be genuine,  cultured pearls are also commonly used in jewelry. Rubies may be genuine or simulated stones.",,,taxable,,1,2,,0,0,,,,,0,,,3150,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001099950.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001100961.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001100962.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001100963.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/1600110097https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001100976.jpg4.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001100975.jpg, ",,,,,,,,,0,,,,,,,,
30037,simple,K1329ON,Black and Peach Freshwater Pearl Necklace and Earring Set with Diamond Accents,1,0,visible,,"This elegant necklace and earring set features alternating black and peach freshwater pearls with sparkling diamond accents. The pearls have a high luster and beautiful iridescence. The necklace has a simple and sophisticated design that is perfect for any occasion. The earrings are stud earrings that feature a single black or peach pearl with a small diamond accent.
Design:  The necklace features an elegant and refined design and the earrings are stud style making it ideal for any event. 

Gemstones: This elegant necklace and earring set features alternating black and peach freshwater pearls with sparkling diamond accents. 

Polish: The pearls have a high luster and beautiful iridescence. ",,,taxable,,1,2,,0,0,,,,,0,,,3375,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001104660.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001105551.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001105552.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001105553.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001105564.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001105565.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16001105566.jpg",,,,,,,,,0,,,,,,,,
30038,simple,SET865A,Sparkling Diamond Necklace and Earring Set,1,0,visible,,"•Design: Classic diamond necklace and stud earrings set
•Gemstones: Diamonds ( cubic zirconia)
•Polish: Shiny
Diamonds are a popular gemstone known for their brilliance and durability. They are the hardest natural substance on Earth and are often used in engagement rings and other fine jewelry. Cubic zirconia is a man-made gemstone that is often used as a diamond simulant. It is less expensive than diamonds but can be very sparkly.his elegant rose gold plated necklace and earring set features cubic zirconia gemstones. The cubic zirconia are clear and sparkly, and they catch the light beautifully. The necklace has a delicate design with a central pendant that features a larger cubic zirconia stone. The earrings are stud earrings that also feature cubic zirconia stones.
•Design: This classic style rose gold plated diamond necklace and stud earrings set is the epitome of timeless elegance
•Gemstones: Diamonds (Zirconia). The central pendant features a larger cubic zirconia stone similarly, the stud also has zirconia stones.
•Polish: The shiny cubic zirconia are clear and sparkly, and they catch the light beautifully.",,,taxable,,1,1,,0,0,,,,,0,,,27000,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419972900.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419972911.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419972912.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419972913.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419972914.jpg",,,,,,,,,0,,,,,,,,
30039,simple,SET851,Traditional Indian Pearl and Gold Jhumki Earrings with Necklace Set,1,0,visible,,"•This beautiful Indian necklace and earring set features intricate gold work and lustrous pearls.
•The jhumki earrings are a classic Indian design, and the necklace is a perfect complement.
•The set is made of high-quality materials and is sure to add a touch of elegance to any outfit.",,,taxable,,1,1,,0,0,,,,,0,,,9500,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16383433690.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419966201.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419966202.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419966213.jpg",,,,,,,,,0,,,,,,,,
30040,simple,SET846,Buy Regal Sparkle Necklace Set,1,0,visible,,,,,taxable,,1,1,,0,0,,,,,0,,,13000,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16760484910.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16760484921.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16760484922.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16760484923.jpg",,,,,,,,,0,,,,,,,,
30041,simple,SET822,Sparkling Diamond Necklace and Stud Earring Set in rodium polish,1,0,visible,,"This glamorous chandelier necklace and earring set features cascading crThis dazzling diamond necklace and stud earring set is crafted in gleaming rodium polish
The necklace features a classic design with sparkling diamonds, perfect for adding a touch of glamour to any outfit.
The stud earrings boast a single, brilliant diamond each, for a touch of timeless elegance.
The set is made with high-quality materials and is sure to become a cherished piece in your jewelry collection.ystals in a silver-tone setting. The crystals sparkle beautifully and catch the light. The necklace has a dramatic design that is perfect for a special occasion or a night out. The earrings are chandelier earrings that also feature cascading crystals.",,,taxable,,1,1,,0,0,,,,,0,,,11000,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16380898420.jpg,,,,,,,,,0,,,,,,,,
30042,simple,K820,Exquisite Full Golden Bridal Set with Traditional Indian Design,1,0,visible,,"This exquisite full golden bridal set features a traditional Indian design, perfect for the bride who wants to look her most elegant on her wedding day.
The set includes a necklace, earrings, and maang tikka, all crafted in gleaming gold.
The intricate design of the set is sure to impress, and the high-quality materials will ensure that it lasts for years to come.",,,taxable,,1,1,,0,0,,,,,0,,,56000,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007003920.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007004791.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007004802.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007004803.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007004804.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007005665.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007005666.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007005677.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16007005678.jpg",,,,,,,,,0,,,,,,,,
30043,simple,SET820C,Dazzling Rhodium-Plated Cubic Zirconia Necklace and Earring Set,1,0,visible,,"This captivating necklace and earring set features sparkling cubic zirconia gemstones set in gleaming rhodium plating.
The rhodium plating offers a bright, reflective finish that is more durable than sterling silver and less likely to tarnish.
The necklace features a classic design with a row of sparkling cubic zirconia stones, perfect for adding a touch of glamour to any outfit.
The stud earrings boast a single, brilliant cubic zirconia each, for a touch of timeless elegance.
The set is made with high-quality materials and is sure to become a cherished piece in your jewelry collection.",,,taxable,,1,1,,0,0,,,,,0,,,5400,Jewellery > Neclace Sets > American Diamond,,,"https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16383432990.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419909381.jpg, https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/16419909382.jpg",,,,,,,,,0,,,,,,,,
30044,simple,SET819,Exquisite Golden Finish Diamond Necklace and Earring Set,1,0,visible,,"This captivating necklace and earring set features sparkling diamonds set in a luxurious golden finish.
The warm glow of the golden polish adds a touch of sophistication and elegance to any outfit.
The necklace features a classic design with sparkling diamonds, perfect for making a grand statement.
The stud earrings boast a single, brilliant diamond each, adding a touch of timeless elegance.
The set is crafted with high-quality materials and is sure to become a treasured piece in your jewelry collection.",,,taxable,,1,1,,0,0,,,,,0,,,15000,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/15980191540.jpg,,,,,,,,,0,,,,,,,,
30045,simple,SET818,Glamorous Ruby and Golden Necklace and Earring Set ,1,0,visible,,"Add a touch of glamour to your look with this stunning ruby and golden necklace and earring set.

This dazzling set features beautiful ruby gemstones (simulated) set in a gleaming golden finish, perfect for making a memorable statement.

Sparkling Ruby Allure: Captivate everyone with the fiery brilliance of simulated ruby gemstones.

Golden Elegance:  The luxurious golden finish adds a touch of sophistication and warmth to the set.

Classic Design: The timeless design of the necklace and earrings makes this set perfect for any occasion.

Complete the Look: This set includes a necklace and earrings, ensuring a perfectly coordinated look.

High-Quality Craftsmanship: Made with high-quality materials, this set is designed to last.

Unbeatable Value:  Enjoy the luxurious look and feel of gemstones and gold at an affordable price (artificial).",,,taxable,,1,1,,0,0,,,,,0,,,11000,Jewellery > Neclace Sets > American Diamond,,,https://yosshitaneha.com/newsite/wp-content/uploads/2024/03/15980189590.jpg,,,,,,,,,0,,,,,,,,
